"","case_id","continuous_treat","binary_treat","religion","days_ate","withdraw_school","ill_2wks","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","cant_feed_fam","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","year2020","urban","district","sdate","smonth","syear"
"39","303015900091",0,0,"islam",7,0,1,9,7,1,1,4,3,6,0,3,1,7,1,0,1,1,1,1,0,90859.4609375,1442.84130859375,1442.84130859375,0,0,-15.3793001174927,35.4827003479004,11.710000038147,18.7000007629395,15,223,1290,0,"rural","Zomba",19,5,2010
"40","303015900132",0,0,"islam",7,0,1,30,7,3,3,7,3,1,0,3,5,7,1,0,1,1,1,1,0,212641.65625,721.420654296875,721.420654296875,0,0,-15.3793001174927,35.4827003479004,10.289999961853,17.2299995422363,13,222,1286,0,"rural","Zomba",20,5,2010
"41","303015900165",0,0,"islam",7,0,1,0,7,3,2,7,2,3,0,4,5,4,0,0,2,1,2,2,0,302201.28125,0,0,0,0,-15.3793001174927,35.4827003479004,9.47999954223633,16.7399997711182,20,222,1277,0,"rural","Zomba",17,5,2010
"42","303015900176",0,0,"christianity",5.5,1,1,20,7,2,6,7,3,5,2,3,7,7,0,0,2,3,2,2,0,193346.46875,1598.22424316406,1154.27307128906,0,443.951171875,-15.3793001174927,35.4827003479004,9.52000045776367,17.0100002288818,12,223,1273,0,"rural","Zomba",17,5,2010
"43","303015900178",0,0,"christianity",7,0,0,48,7,6,2,7,4,3,0,4,6,7,1,0,2,2,2,2,0,294682.6875,1442.84130859375,1442.84130859375,0,0,-15.3793001174927,35.4827003479004,9.36999988555908,16.8899993896484,19,223,1273,0,"rural","Zomba",17,5,2010
"44","303015900188",0,0,"christianity",7,0,1,14,7,2,3,7,4,2,0,7,0,7,1,0,1,2,1,1,0,88114.2421875,1442.84130859375,1442.84130859375,0,0,-15.3793001174927,35.4827003479004,9.60000038146973,17.1000003814697,13,223,1273,0,"rural","Zomba",17,5,2010
"45","303015900203",0,0,"christianity",7,0,0,2,7,2,4,7,2,4,1,3,5,7,0,0,2,1,2,2,0,258615.203125,1442.84130859375,1442.84130859375,0,0,-15.3793001174927,35.4827003479004,11.1599998474121,19.0599994659424,13,224,1278,0,"rural","Zomba",18,5,2010
"46","303015900207",0,0,"christianity",7,0,1,24,7,3,4,3,3,1,7,7,7,7,1,0,1,1,1,1,0,335824.46875,21931.1875,21931.1875,0,0,-15.3793001174927,35.4827003479004,11.1300001144409,19.0300006866455,13,224,1278,0,"rural","Zomba",18,5,2010
"47","303015900212",0,0,"christianity",7,0,1,4,7,3,7,3,2,4,0,5,7,7,1,0,2,1,2,2,0,159764.046875,1731.40954589844,1731.40954589844,0,0,-15.3793001174927,35.4827003479004,11.1000003814697,18.8999996185303,16,224,1278,0,"rural","Zomba",18,5,2010
"48","303015900217",0,0,"christianity",7,0,1,0,7,1,3,4,5,1,0,5,2,7,1,0,1,1,1,1,0,126268.59375,1442.84130859375,1442.84130859375,0,0,-15.3793001174927,35.4827003479004,11.289999961853,19.0900001525879,15,224,1278,0,"rural","Zomba",18,5,2010
"49","303022830006",0,0,"christianity",5.83333333333333,0,0,72,7,1,0,7,4,1,0,7,1,7,0,0,2,2,2,2,0,105669.078125,0,0,0,0,-15.3663997650146,35.5802001953125,19.4899997711182,27.4799995422363,36,227,1299,0,"rural","Zomba",9,11,2010
"50","303022830014",0,0,"christianity",7,0,0,2,7,3,2,3,3,4,0,2,0,7,1,0,1,1,1,1,0,78938.7265625,0,0,0,0,-15.3663997650146,35.5802001953125,19.3299999237061,27.3999996185303,36,227,1291,0,"rural","Zomba",8,11,2010
"51","303022830016",0,0,"islam",7,0,1,79,7,1,0,7,7,5,0,7,7,7,0,0,1,1,1,1,0,285170.15625,6318.08251953125,5664.48779296875,0,653.5947265625,-15.3663997650146,35.5802001953125,19.2399997711182,27.3400001525879,36,227,1291,0,"rural","Zomba",8,11,2010
"52","303022830024",0,0,"christianity",7,0,0,0,7,0,1,3,7,1,0,3,3,7,0,0,1,2,1,1,0,113276.46875,0,0,0,0,-15.3663997650146,35.5802001953125,19.6900005340576,27.7900009155273,36,227,1297,0,"rural","Zomba",9,11,2010
"53","303022830032",0,0,"christianity",7,0,1,10,7,0,2,7,7,7,0,4,4,7,1,0,1,1,1,1,0,82843.1328125,0,0,0,0,-15.3663997650146,35.5802001953125,20.8799991607666,28.7999992370605,36,227,1304,0,"rural","Zomba",9,11,2010
"54","303022830048",0,0,"christianity",7,0,0,6,7,2,0,7,6,3,2,7,7,7,0,0,2,3,2,2,0,258226.484375,6209.14990234375,0,0,6209.14990234375,-15.3663997650146,35.5802001953125,19.9899997711182,28.0900001525879,36,227,1297,0,"rural","Zomba",9,11,2010
"55","303022830056",0,0,"christianity",7,0,1,24,7,1,2,7,0,2,0,0,0,7,0,0,1,2,1,1,0,104472.7734375,1742.91931152344,0,0,1742.91931152344,-15.3663997650146,35.5802001953125,20.1700000762939,28.2800006866455,36,227,1297,0,"rural","Zomba",9,11,2010
"56","303022830064",0,0,"christianity",7,0,0,96,7,7,0,7,7,0,0,0,0,7,0,0,1,1,1,1,0,74716.734375,0,0,0,0,-15.3663997650146,35.5802001953125,20.2999992370605,28.4599990844727,36,227,1300,0,"rural","Zomba",8,11,2010
"57","303022830072",0,0,"christianity",7,0,1,4,7,1,0,7,4,4,0,0,0,7,1,0,1,1,1,1,0,68449.0625,0,0,0,0,-15.3663997650146,35.5802001953125,20.5499992370605,28.7600002288818,36,227,1300,0,"rural","Zomba",9,11,2010
"58","303022830088",0,0,"christianity",7,0,0,4,7,7,3,4,7,7,0,7,7,7,0,0,2,2,2,2,0,115367.1953125,0,0,0,0,-15.3663997650146,35.5802001953125,19.9799995422363,28.2299995422363,36,227,1297,0,"rural","Zomba",9,11,2010
"59","303022830096",0,0,"islam",5.42857142857143,0,1,18,7,7,0,7,1,0,0,5,5,7,1,0,1,2,1,1,0,191624.96875,2124.18286132812,2124.18286132812,0,0,-15.3663997650146,35.5802001953125,20.7199993133545,28.8799991607666,36,227,1300,0,"rural","Zomba",8,11,2010
"60","303022830104",0,0,"islam",7,0,0,72,7,3,0,7,5,7,0,4,0,7,0,0,1,1,1,1,0,116044.1640625,0,0,0,0,-15.3663997650146,35.5802001953125,20.8600006103516,28.9400005340576,36,227,1300,0,"rural","Zomba",8,11,2010
"61","303022830128",0,0,"christianity",7,0,1,72,7,4,1,7,1,5,0,5,0,7,1,0,1,1,1,1,0,215198.9375,4956.4267578125,4956.4267578125,0,0,-15.3663997650146,35.5802001953125,19.4300003051758,27.2000007629395,36,227,1303,0,"rural","Zomba",9,11,2010
"62","303022830136",0,0,"islam",7,1,1,0,7,2,2,5,5,7,0,2,2,7,1,0,2,2,2,2,0,177610.6875,2832.24389648438,2832.24389648438,0,0,-15.3663997650146,35.5802001953125,19.4699993133545,27.3700008392334,36,227,1299,0,"rural","Zomba",8,11,2010
"63","303022830144",0,0,"islam",7,0,0,6,7,3,4,7,6,7,0,3,7,7,1,0,2,2,2,2,0,124339.1875,0,0,0,0,-15.3663997650146,35.5802001953125,19.7399997711182,27.6800003051758,36,227,1303,0,"rural","Zomba",8,11,2010
"64","303022830160",0,0,"christianity",7,0,0,102,7,3,1,7,2,2,0,0,7,7,0,0,2,1,2,2,0,101610.9296875,0,0,0,0,-15.3663997650146,35.5802001953125,19.9500007629395,27.9400005340576,36,227,1303,0,"rural","Zomba",8,11,2010
"65","303023570005",6,1,"christianity",4.25,0,0,0,7,3,0,7,7,2,0,7,7,7,0,0,1,1,1,1,0,124798.7890625,0,0,0,0,-15.5120000839233,35.5861015319824,29.2700004577637,33.9099998474121,17,225,1408,0,"rural","Zomba",17,11,2010
"66","303023570017",6,1,"christianity",7,0,1,0,7,4,7,7,4,7,7,7,7,7,0,0,2,1,2,2,0,535483.75,0,0,0,0,-15.5120000839233,35.5861015319824,26.6700000762939,30.9599990844727,13,224,1395,0,"rural","Zomba",16,11,2010
"67","303023570023",6,1,"christianity",7,1,1,0,7,7,7,7,5,7,1,7,7,7,0,0,2,2,2,2,0,277185.28125,0,0,0,0,-15.5120000839233,35.5861015319824,26.7199993133545,31.0200004577637,13,224,1395,0,"rural","Zomba",16,11,2010
"68","303023570035",6,1,"christianity",6.25,0,0,30,7,0,2,7,3,7,0,7,4,7,0,0,2,2,2,2,0,113966.3046875,0,0,0,0,-15.5120000839233,35.5861015319824,26.8099994659424,31.0799999237061,13,224,1401,0,"rural","Zomba",16,11,2010
"69","303023570046",6,1,"christianity",7,0,1,0,7,2,4,6,4,5,7,7,7,7,0,0,2,2,2,2,0,525597,1633.98681640625,0,0,1633.98681640625,-15.5120000839233,35.5861015319824,26.6200008392334,30.8700008392334,13,224,1401,0,"rural","Zomba",16,11,2010
"70","303023570069",6,1,"christianity",7,0,0,6,7,2,2,7,2,7,0,2,2,7,1,0,1,2,1,1,0,108565.0390625,0,0,0,0,-15.5120000839233,35.5861015319824,26.1900005340576,30.4899997711182,15,224,1395,0,"rural","Zomba",17,11,2010
"71","303023570081",6,1,"christianity",7,0,1,4,7,0,2,4,0,7,0,2,7,7,1,0,1,2,1,1,0,58661.4140625,0,0,0,0,-15.5120000839233,35.5861015319824,27.2199993133545,31.3999996185303,18,224,1405,0,"rural","Zomba",17,11,2010
"72","303023570092",6,1,"christianity",7,0,1,5,7,0,2,2,1,7,0,0,0,7,0,0,1,1,1,1,0,43305.23046875,3257.08056640625,3257.08056640625,0,0,-15.5120000839233,35.5861015319824,27.1000003814697,31.3500003814697,13,224,1401,0,"rural","Zomba",17,11,2010
"73","303023570127",6,1,"christianity",3.5,0,1,0,7,0,4,7,6,7,0,0,0,7,1,0,1,2,1,1,0,207830.359375,1416.12194824219,1416.12194824219,0,0,-15.5120000839233,35.5861015319824,26.3700008392334,30.5100002288818,14,224,1400,0,"rural","Zomba",17,11,2010
"74","303023570138",6,1,"islam",7,0,1,0,7,5,4,5,4,7,0,7,7,7,1,0,1,2,1,1,0,113249.7578125,708.060974121094,708.060974121094,0,0,-15.5120000839233,35.5861015319824,26.5900001525879,30.7299995422363,13,224,1400,0,"rural","Zomba",17,11,2010
